matrix,opt_level,threads,schedule,chunksize,time_ms_mean,time_ms_p90
ex40,O3,4,static,100.0,0.143659657,0.15327151
ex40,O3,4,static,1000.0,0.139331077,0.14609376
ex40,O3,8,dynamic,10.0,0.0864501982,0.091821294
ex40,O3,8,dynamic,100.0,0.0763867179,0.08232421900000003
ex40,O3,8,dynamic,1000.0,0.0749438464,0.08203125
ex40,O3,8,guided,10.0,0.07625732419999999,0.08496094
ex40,O3,8,guided,100.0,0.0752075202,0.078881834
ex40,O3,8,guided,1000.0,0.0755419916,0.084082036
ex40,O3,8,static,10.0,0.07835693399999999,0.08322753700000002
ex40,O3,8,static,100.0,0.0753808585,0.07604980100000001
ex40,O3,8,static,1000.0,0.0769482407,0.07949218500000003
ex40,O3,16,dynamic,10.0,0.0525024404,0.054956054
ex40,O3,16,dynamic,100.0,0.0431201171,0.046899414
ex40,O3,16,dynamic,1000.0,0.0799902349,0.08928222800000002
ex40,O3,16,guided,10.0,0.050080566400000005,0.057324222000000015
ex40,O3,16,guided,100.0,0.0438867193,0.04926758200000002
ex40,O3,16,guided,1000.0,0.08080078049999999,0.089184572
ex40,O3,16,static,10.0,0.050310059000000004,0.05915527200000001
ex40,O3,16,static,100.0,0.0420825177,0.04199219
ex40,O3,16,static,1000.0,0.0796850599,0.07910156
ex40,O3,32,dynamic,10.0,0.0932348642,0.10224611000000002
ex40,O3,32,dynamic,100.0,0.2266528534,0.06713867
ex40,O3,32,dynamic,1000.0,0.28617429380000003,0.22756349000000003
ex40,O3,32,guided,10.0,0.12150146839999999,0.07873535400000015
ex40,O3,32,guided,100.0,0.21737792690000002,0.09135741900000002
ex40,O3,32,guided,1000.0,0.39418695579999996,0.24616703000000026
ex40,O3,32,static,10.0,0.6229981255,0.05395508
ex40,O3,32,static,100.0,0.0371801756,0.0390625
ex40,O3,32,static,1000.0,0.08684570559999999,0.090185546
ex40,O3,64,dynamic,10.0,1.9478125747,9.537891100000042
ex40,O3,64,dynamic,100.0,0.8777172557,0.36730958000000163
ex40,O3,64,dynamic,1000.0,0.5555468403,0.20939940000000012
ex40,O3,64,guided,10.0,1.8807837171,11.284255000000018
ex40,O3,64,guided,100.0,0.5077685385,0.1812744300000001
ex40,O3,64,guided,1000.0,0.6772778241,0.3219482000000006
ex40,O3,64,static,10.0,0.7072631369,0.5763671900000317
ex40,O3,64,static,100.0,0.5190380442,0.06638183700000073
ex40,O3,64,static,1000.0,0.5216528632,0.12600101
ex40,O3,128,dynamic,10.0,5.4367405799999995,13.079708
ex40,O3,128,dynamic,100.0,5.217621901999999,13.058304999999999
ex40,O3,128,dynamic,1000.0,2.5790041639999997,12.994803
ex40,O3,128,guided,10.0,2.999275069,12.953127
ex40,O3,128,guided,100.0,8.00311048,13.10017
ex40,O3,128,guided,1000.0,2.236230384,12.813695000000001
ex40,O3,128,static,10.0,2.665793613,12.796024000000001
ex40,O3,128,static,100.0,2.195136862,12.775907000000002
ex40,O3,128,static,1000.0,1.7620141509999998,7.404760600000018
ex40,Ofast,1,sequential,,0.501306151,0.5109863
memchip,O0,1,sequential,,57.322946,57.703047000000005
memchip,O1,1,sequential,,20.5507833,20.763791
